time,ecu,signal,value,fault
2026-03-17T16:56:42.095231,0x100,wheel_speed,60.69,OK
2026-03-17T16:56:42.095260,0x200,brake_pressure,-1.55,OUT_OF_RANGE
2026-03-17T16:56:42.095286,0x300,accel_pedal,31.1,OK
2026-03-17T16:56:42.107822,0x100,wheel_speed,59.09,OK
2026-03-17T16:56:42.107834,0x200,brake_pressure,0.47,OK
2026-03-17T16:56:42.107840,0x300,accel_pedal,30.15,OK
2026-03-17T16:56:42.120386,0x100,wheel_speed,64.77,OK
2026-03-17T16:56:42.120392,0x200,brake_pressure,0.81,OK
2026-03-17T16:56:42.120396,0x300,accel_pedal,27.04,OK
2026-03-17T16:56:42.132966,0x100,wheel_speed,64.58,OK
2026-03-17T16:56:42.132972,0x200,brake_pressure,1.15,OK
2026-03-17T16:56:42.132977,0x300,accel_pedal,29.61,OK
2026-03-17T16:56:42.145544,0x100,wheel_speed,61.98,OK
2026-03-17T16:56:42.145549,0x200,brake_pressure,0.6,OK
2026-03-17T16:56:42.145553,0x300,accel_pedal,27.02,OK
2026-03-17T16:56:42.158148,0x100,wheel_speed,62.76,OK
2026-03-17T16:56:42.158161,0x200,brake_pressure,0.45,OK
2026-03-17T16:56:42.158165,0x300,accel_pedal,30.67,OK
2026-03-17T16:56:42.170740,0x100,wheel_speed,56.06,OK
2026-03-17T16:56:42.170745,0x200,brake_pressure,0.92,OK
2026-03-17T16:56:42.170749,0x300,accel_pedal,30.33,OK
2026-03-17T16:56:42.183328,0x100,wheel_speed,59.03,OK
2026-03-17T16:56:42.183333,0x200,brake_pressure,1.89,OK
2026-03-17T16:56:42.183337,0x300,accel_pedal,31.72,OK
2026-03-17T16:56:42.195932,0x100,wheel_speed,63.15,OK
2026-03-17T16:56:42.195938,0x200,brake_pressure,0.05,OK
2026-03-17T16:56:42.195942,0x300,accel_pedal,32.7,OK
2026-03-17T16:56:42.208516,0x100,wheel_speed,64.28,OK
2026-03-17T16:56:42.208522,0x200,brake_pressure,0.41,OK
2026-03-17T16:56:42.208527,0x300,accel_pedal,30.1,OK
2026-03-17T16:56:42.221095,0x100,wheel_speed,56.62,OK
